ZIP,Date,Forecast_ZHVI,Lower_95_CI,Upper_95_CI,MAE,MSE,RMSE
80921,2025-08-31,733308.2,660116.9609375,820655.5390624999,11924.120328649335,215620963.46541455,14684.03770988806
80921,2025-09-30,735092.25,667185.503125,798507.9171875,11924.120328649335,215620963.46541455,14684.03770988806
80921,2025-10-31,731707.6,646293.7734375,820123.6281249999,11924.120328649335,215620963.46541455,14684.03770988806
80921,2025-11-30,733248.3,649925.459375,805495.1859375,11924.120328649335,215620963.46541455,14684.03770988806
80922,2024-12-31,455893.25,415537.49375,500268.25703125,23101.68026270683,609645414.6217259,24690.998655820422
80922,2025-01-31,455067.2,416457.31484375,500077.4859374999,23101.68026270683,609645414.6217259,24690.998655820422
80922,2025-02-28,455260.8,403316.92109375,501482.98359374993,23101.68026270683,609645414.6217259,24690.998655820422
80922,2025-03-31,452856.84,401118.83125,502475.03828124993,23101.68026270683,609645414.6217259,24690.998655820422
80922,2025-04-30,455789.8,404729.3109375,497952.80859375,23101.68026270683,609645414.6217259,24690.998655820422
80922,2025-05-31,454942.3,403459.184375,505752.99296874995,23101.68026270683,609645414.6217259,24690.998655820422
80922,2025-06-30,454310.28,404404.4171875,501818.3632812499,23101.68026270683,609645414.6217259,24690.998655820422
80922,2025-07-31,456625.47,405858.2953125,515152.44921875,23101.68026270683,609645414.6217259,24690.998655820422
80922,2025-08-31,455556.3,411031.384375,504456.190625,23101.68026270683,609645414.6217259,24690.998655820422
80922,2025-09-30,459193.72,409236.609375,502965.671875,23101.68026270683,609645414.6217259,24690.998655820422
80922,2025-10-31,451457.47,397133.309375,490929.22734375,23101.68026270683,609645414.6217259,24690.998655820422
80922,2025-11-30,457215.47,413352.36015625,509099.68203125,23101.68026270683,609645414.6217259,24690.998655820422
80923,2024-12-31,480997.88,428277.49375,529291.0328125,10380.332568370495,117255690.9016421,10828.46669208721
80923,2025-01-31,480376.03,436727.90390625,533037.7703125,10380.332568370495,117255690.9016421,10828.46669208721
80923,2025-02-28,480845.84,434825.84453125,523408.36171875,10380.332568370495,117255690.9016421,10828.46669208721
80923,2025-03-31,479855.7,437815.96953125,524413.63125,10380.332568370495,117255690.9016421,10828.46669208721
80923,2025-04-30,477380.0,424819.26015625,521731.92578125,10380.332568370495,117255690.9016421,10828.46669208721
80923,2025-05-31,484779.25,423266.19375,539082.35,10380.332568370495,117255690.9016421,10828.46669208721
